,nation,player,age,placement
0,Norway,0,27,round of 16
1,Norway,1,31,round of 16
2,Norway,2,22,round of 16
3,Norway,3,25,round of 16
4,Norway,4,29,round of 16
5,Norway,5,33,round of 16
6,Norway,6,25,round of 16
7,Norway,7,28,round of 16
8,Norway,8,27,round of 16
9,Norway,9,28,round of 16
10,Norway,10,28,round of 16
11,Norway,11,31,round of 16
12,Norway,12,23,round of 16
13,Norway,13,28,round of 16
14,Norway,14,27,round of 16
15,Norway,15,21,round of 16
16,Norway,16,21,round of 16
17,Norway,17,24,round of 16
18,Norway,18,25,round of 16
19,Norway,19,31,round of 16
20,Norway,20,22,round of 16
21,Norway,21,24,round of 16
22,Norway,22,27,round of 16
0,New Zealand,0,31,group stage
1,New Zealand,1,33,group stage
2,New Zealand,2,23,group stage
3,New Zealand,3,28,group stage
4,New Zealand,4,24,group stage
5,New Zealand,5,24,group stage
6,New Zealand,6,35,group stage
7,New Zealand,7,26,group stage
8,New Zealand,8,22,group stage
9,New Zealand,9,32,group stage
10,New Zealand,10,29,group stage
11,New Zealand,11,32,group stage
12,New Zealand,12,30,group stage
13,New Zealand,13,29,group stage
14,New Zealand,14,25,group stage
15,New Zealand,15,24,group stage
16,New Zealand,16,31,group stage
17,New Zealand,17,24,group stage
18,New Zealand,18,24,group stage
19,New Zealand,19,21,group stage
20,New Zealand,20,32,group stage
21,New Zealand,21,17,group stage
22,New Zealand,22,22,group stage
0,Switzerland,0,37,round of 16
1,Switzerland,1,26,round of 16
2,Switzerland,2,23,round of 16
3,Switzerland,3,21,round of 16
4,Switzerland,4,27,round of 16
5,Switzerland,5,24,round of 16
6,Switzerland,6,23,round of 16
7,Switzerland,7,23,round of 16
8,Switzerland,8,32,round of 16
9,Switzerland,9,32,round of 16
10,Switzerland,10,28,round of 16
11,Switzerland,11,21,round of 16
12,Switzerland,12,30,round of 16
13,Switzerland,13,24,round of 16
14,Switzerland,14,27,round of 16
15,Switzerland,15,26,round of 16
16,Switzerland,16,23,round of 16
17,Switzerland,17,27,round of 16
18,Switzerland,18,30,round of 16
19,Switzerland,19,36,round of 16
20,Switzerland,20,30,round of 16
21,Switzerland,21,27,round of 16
22,Switzerland,22,24,round of 16
0,Philippines,0,25,group stage
1,Philippines,1,19,group stage
2,Philippines,2,23,group stage
3,Philippines,3,30,group stage
4,Philippines,4,28,group stage
5,Philippines,5,34,group stage
6,Philippines,6,27,group stage
7,Philippines,7,26,group stage
8,Philippines,8,18,group stage
9,Philippines,9,25,group stage
10,Philippines,10,23,group stage
11,Philippines,11,27,group stage
12,Philippines,12,25,group stage
13,Philippines,13,26,group stage
14,Philippines,14,21,group stage
15,Philippines,15,24,group stage
16,Philippines,16,25,group stage
17,Philippines,17,17,group stage
18,Philippines,18,28,group stage
19,Philippines,19,26,group stage
20,Philippines,20,29,group stage
21,Philippines,21,23,group stage
22,Philippines,22,24,group stage
0,Australia,0,35,semi-finals
1,Australia,1,21,semi-finals
2,Australia,2,38,semi-finals
3,Australia,3,34,semi-finals
4,Australia,4,25,semi-finals
5,Australia,5,25,semi-finals
6,Australia,6,29,semi-finals
7,Australia,7,24,semi-finals
8,Australia,8,28,semi-finals
9,Australia,9,30,semi-finals
10,Australia,10,20,semi-finals
11,Australia,11,25,semi-finals
12,Australia,12,32,semi-finals
13,Australia,13,28,semi-finals
14,Australia,14,24,semi-finals
15,Australia,15,28,semi-finals
16,Australia,16,32,semi-finals
17,Australia,17,29,semi-finals
18,Australia,18,30,semi-finals
19,Australia,19,29,semi-finals
20,Australia,20,23,semi-finals
21,Australia,21,21,semi-finals
22,Australia,22,21,semi-finals
0,Canada,0,28,group stage
1,Canada,1,34,group stage
2,Canada,2,27,group stage
3,Canada,3,30,group stage
4,Canada,4,27,group stage
5,Canada,5,24,group stage
6,Canada,6,22,group stage
7,Canada,7,22,group stage
8,Canada,8,22,group stage
9,Canada,9,28,group stage
10,Canada,10,26,group stage
11,Canada,11,40,group stage
12,Canada,12,35,group stage
13,Canada,13,27,group stage
14,Canada,14,28,group stage
15,Canada,15,24,group stage
16,Canada,16,25,group stage
17,Canada,17,30,group stage
18,Canada,18,30,group stage
19,Canada,19,30,group stage
20,Canada,20,19,group stage
21,Canada,21,24,group stage
22,Canada,22,18,group stage
0,Nigeria,0,36,round of 16
1,Nigeria,1,25,round of 16
2,Nigeria,2,31,round of 16
3,Nigeria,3,24,round of 16
4,Nigeria,4,40,round of 16
5,Nigeria,5,29,round of 16
6,Nigeria,6,28,round of 16
7,Nigeria,7,28,round of 16
8,Nigeria,8,29,round of 16
9,Nigeria,9,22,round of 16
10,Nigeria,10,21,round of 16
11,Nigeria,11,26,round of 16
12,Nigeria,12,19,round of 16
13,Nigeria,13,21,round of 16
14,Nigeria,14,23,round of 16
15,Nigeria,15,22,round of 16
16,Nigeria,16,29,round of 16
17,Nigeria,17,28,round of 16
18,Nigeria,18,22,round of 16
19,Nigeria,19,19,round of 16
20,Nigeria,20,26,round of 16
21,Nigeria,21,26,round of 16
22,Nigeria,22,33,round of 16
0,Ireland,0,27,group stage
1,Ireland,1,28,group stage
2,Ireland,2,27,group stage
3,Ireland,3,33,group stage
4,Ireland,4,35,group stage
5,Ireland,5,26,group stage
6,Ireland,6,34,group stage
7,Ireland,7,33,group stage
8,Ireland,8,27,group stage
9,Ireland,9,29,group stage
10,Ireland,10,27,group stage
11,Ireland,11,29,group stage
12,Ireland,12,34,group stage
13,Ireland,13,23,group stage
14,Ireland,14,29,group stage
15,Ireland,15,30,group stage
16,Ireland,16,33,group stage
17,Ireland,17,27,group stage
18,Ireland,18,18,group stage
19,Ireland,19,26,group stage
20,Ireland,20,30,group stage
21,Ireland,21,22,group stage
22,Ireland,22,28,group stage
0,Costa Rica,0,18,group stage
