,nation,player,club,club_country
0,Norway,0, Lillestrøm,Norway
1,Norway,1, Inter Milan,Italy
2,Norway,2, Rosenborg,Norway
3,Norway,3, Bayern Munich,Germany
4,Norway,4, Brighton & Hove Albion,England
5,Norway,5, Chelsea,England
6,Norway,6, Barcelona,Spain
7,Norway,7, Manchester United,England
8,Norway,8, Vålerenga,Norway
9,Norway,9, Barcelona,Spain
10,Norway,10, Chelsea,England
11,Norway,11, Vålerenga,Norway
12,Norway,12, Vålerenga,Norway
13,Norway,13, Lyon,France
14,Norway,14, Reading,England
15,Norway,15, Rosenborg,Norway
16,Norway,16, BK Häcken,Sweden
17,Norway,17, Arsenal,England
18,Norway,18, Brann,Norway
19,Norway,19, Roma,Italy
20,Norway,20, Rosenborg,Norway
21,Norway,21, Roma,Italy
22,Norway,22, Brann,Norway
0,New Zealand,0, IFK Norrköping,Sweden
1,New Zealand,1, Tottenham Hotspur,England
2,New Zealand,2, Melbourne Victory,Australia
3,New Zealand,3, Leicester City,England
4,New Zealand,4, Wellington Phoenix,New
5,New Zealand,5, Western Sydney Wanderers,Australia
6,New Zealand,6, Angel City,United
7,New Zealand,7, HB Køge,Denmark
8,New Zealand,8, Arizona State Sun Devils,United
9,New Zealand,9, Christchurch United,New
10,New Zealand,10,Scotland Celtic,Scotland
11,New Zealand,11, Wellington Phoenix,New
12,New Zealand,12, Brighton & Hove Albion,England
13,New Zealand,13, Melbourne City,Australia
14,New Zealand,14, Wellington Phoenix,New
15,New Zealand,15,Finland Åland United,Finland
16,New Zealand,16, Melbourne City,Australia
17,New Zealand,17, Canberra United,Australia
18,New Zealand,18, Perth Glory,Australia
19,New Zealand,19, Brisbane Roar,Australia
20,New Zealand,20,Scotland Rangers,Scotland
21,New Zealand,21, Wellington Phoenix,New
22,New Zealand,22, Aston Villa,England
0,Switzerland,0, Real Betis,Spain
1,Switzerland,1, Zürich,Switzerland
2,Switzerland,2, Bayer Leverkusen,Germany
3,Switzerland,3, Servette,Switzerland
4,Switzerland,4, Arsenal,England
5,Switzerland,5, Eintracht Frankfurt,Germany
6,Switzerland,6, Bayer Leverkusen,Germany
7,Switzerland,7, Zürich,Switzerland
8,Switzerland,8, Barcelona,Spain
9,Switzerland,9, Paris Saint-Germain,France
10,Switzerland,10, Servette,Switzerland
11,Switzerland,11, Levante,Spain
12,Switzerland,12, Arsenal,England
13,Switzerland,13, Zürich,Switzerland
14,Switzerland,14, 1899 Hoffenheim,Germany
15,Switzerland,15, Servette,Switzerland
16,Switzerland,16, Zürich,Switzerland
17,Switzerland,17, Levante,Spain
18,Switzerland,18, Paris FC,France
19,Switzerland,19, Zürich,Switzerland
20,Switzerland,20, Zürich,Switzerland
21,Switzerland,21, Dijon,France
22,Switzerland,22, Aston Villa,England
0,Philippines,0, So Cal Union,United
1,Philippines,1, Blacktown City,Australia
2,Philippines,2, IFK Kalmar,Sweden
3,Philippines,3, Western United,Australia
4,Philippines,4, Kaya–Iloilo,Philippines
5,Philippines,5,Iceland Þór/KA,Iceland
6,Philippines,6, Western Sydney Wanderers,Australia
7,Philippines,7, KIL/Hemne,Norway
8,Philippines,8, West Virginia Mountaineers,United
9,Philippines,9, So Cal Union,United
10,Philippines,10, Mt Druitt Town Rangers,Australia
11,Philippines,11,Unattached,Unattached
12,Philippines,12, Western United,Australia
13,Philippines,13, Stabæk,Norway
14,Philippines,14, Blacktown Spartans,Australia
15,Philippines,15,Unattached,Unattached
16,Philippines,16, Pacific Northwest SC,United
17,Philippines,17, Los Angeles Breakers,United
18,Philippines,18,Iceland Þór/KA,Iceland
19,Philippines,19,Serbia Red Star Belgrade,Serbia
20,Philippines,20, Piteå,Sweden
21,Philippines,21, Central Coast Mariners,Australia
22,Philippines,22, Santos,Brazil
0,Australia,0, Brighton & Hove Albion,England
1,Australia,1, Leicester City,England
2,Australia,2, BK Häcken,Sweden
3,Australia,3, Vittsjö GIK,Sweden
4,Australia,4, Sydney FC,Australia
5,Australia,5, Everton,England
6,Australia,6, Arsenal,England
7,Australia,7, Racing Louisville,United
8,Australia,8, Arsenal,England
9,Australia,9, San Diego Wave,United
10,Australia,10, Manchester City,England
11,Australia,11, Rosengård,Sweden
12,Australia,12, Brann,Norway
13,Australia,13, Manchester City,England
14,Australia,14, Western Sydney Wanderers,Australia
15,Australia,15, Manchester City,England
16,Australia,16, Tottenham Hotspur,England
17,Australia,17, West Ham United,England
18,Australia,18, Vittsjö GIK,Sweden
19,Australia,19, Chelsea,England
20,Australia,20, Lyon,France
21,Australia,21, Vittsjö GIK,Sweden
22,Australia,22, Hammarby IF,Sweden
0,Canada,0, San Diego Wave,United
1,Canada,1, Houston Dash,United
2,Canada,2, Chelsea,England
3,Canada,3, Tottenham Hotspur,England
4,Canada,4, OL Reign,United
5,Canada,5, Reading,England
6,Canada,6, Juventus,Italy
7,Canada,7, Manchester United,England
8,Canada,8, OL Reign,United
9,Canada,9, Paris Saint-Germain,France
